uri,cls,label
<http://edukg.org/knowledge/3.0/instance/chemistry#main-E1632>,<http://edukg.org/knowledge/3.0/class/chemistry#main-C0>,硫酸钙
<http://edukg.org/knowledge/3.0/instance/chemistry#main-E577>,<http://edukg.org/knowledge/3.0/class/chemistry#main-C0>,滴瓶滴管
<http://edukg.org/knowledge/3.0/instance/chemistry#main-E3562>,<http://edukg.org/knowledge/3.0/class/chemistry#main-C0>,石墨
<http://edukg.org/knowledge/3.0/instance/chemistry#main-E2457>,<http://edukg.org/knowledge/3.0/class/chemistry#main-C0>,合金
<http://edukg.org/knowledge/3.0/instance/chemistry#main-E1753>,<http://edukg.org/knowledge/3.0/class/chemistry#main-C0>,苏打
<http://edukg.org/knowledge/3.0/instance/chemistry#main-E2401>,<http://edukg.org/knowledge/3.0/class/chemistry#main-C0>,非金属单质
<http://edukg.org/knowledge/3.0/instance/chemistry#main-E2042>,<http://edukg.org/knowledge/3.0/class/chemistry#main-C17>,$Na_{2}S$
<http://edukg.org/knowledge/3.0/instance/chemistry#main-E1972>,<http://edukg.org/knowledge/3.0/class/chemistry#main-C48>,亚硫酸钙
<http://edukg.org/knowledge/3.0/instance/chemistry#main-E2912>,<http://edukg.org/knowledge/3.0/class/chemistry#main-C31>,冷却剂
<http://edukg.org/knowledge/3.0/instance/chemistry#main-E1099>,<http://www.w3.org/2002/07/owl#NamedIndividual>,金属汞
<http://edukg.org/knowledge/3.0/instance/chemistry#main-E4296>,<http://edukg.org/knowledge/3.0/class/chemistry#main-C0>,阳离子
<http://edukg.org/knowledge/3.0/instance/chemistry#main-E1116>,<http://www.w3.org/2002/07/owl#NamedIndividual>,高温煅烧石灰石
<http://edukg.org/knowledge/3.0/instance/chemistry#main-E2669>,<http://edukg.org/knowledge/3.0/class/chemistry#main-C0>,卤化氢
<http://edukg.org/knowledge/3.0/instance/chemistry#main-E1122>,<http://www.w3.org/2002/07/owl#NamedIndividual>,熵
<http://edukg.org/knowledge/3.0/instance/chemistry#main-E1313>,<http://www.w3.org/2002/07/owl#NamedIndividual>,明矾
