uri,cls,label
<http://edukg.org/knowledge/3.0/instance/physics#main-E1928>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,第二宇宙速度
<http://edukg.org/knowledge/3.0/instance/physics#main-E1566>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,估算模型
<http://edukg.org/knowledge/3.0/instance/physics#main-E1586>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,变速圆周运动
<http://edukg.org/knowledge/3.0/instance/physics#main-E475>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,插塞式电阻箱
<http://edukg.org/knowledge/3.0/instance/physics#main-E1337>,<http://www.w3.org/2002/07/owl#NamedIndividual>,力学定律
<http://edukg.org/knowledge/3.0/instance/physics#main-E1697>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,电路简化
<http://edukg.org/knowledge/3.0/instance/physics#main-E1069>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,半导体二极管
<http://edukg.org/knowledge/3.0/instance/physics#main-E1037>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,参考系
<http://edukg.org/knowledge/3.0/instance/physics#main-E705>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,物体
<http://edukg.org/knowledge/3.0/instance/physics#main-E178>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,电磁感应中能量问题
<http://edukg.org/knowledge/3.0/instance/physics#main-E1131>,<http://edukg.org/knowledge/3.0/class/physics#main-C10>,伏特
<http://edukg.org/knowledge/3.0/instance/physics#main-E2092>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,振动图像
<http://edukg.org/knowledge/3.0/instance/physics#main-E79>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,物体上浮条件
<http://edukg.org/knowledge/3.0/instance/physics#main-E1356>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,压强（p）
<http://edukg.org/knowledge/3.0/instance/physics#main-E1527>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,节约用电
<http://edukg.org/knowledge/3.0/instance/physics#main-E1874>,<http://edukg.org/knowledge/3.0/class/physics#main-C8>,稳度
<http://edukg.org/knowledge/3.0/instance/physics#main-E968>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,小船过河问题
<http://edukg.org/knowledge/3.0/instance/physics#main-E1040>,<http://www.w3.org/2002/07/owl#NamedIndividual>,电磁驱动
<http://edukg.org/knowledge/3.0/instance/physics#main-E1001>,<http://www.w3.org/2002/07/owl#NamedIndividual>,相对误差
<http://edukg.org/knowledge/3.0/instance/physics#main-E1077>,<http://edukg.org/knowledge/3.0/class/physics#main-C8>,温度
<http://edukg.org/knowledge/3.0/instance/physics#main-E1213>,<http://www.w3.org/2002/07/owl#NamedIndividual>,扬声器
<http://edukg.org/knowledge/3.0/instance/physics#main-E1518>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,音色
<http://edukg.org/knowledge/3.0/instance/physics#main-E1261>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,理想气体
<http://edukg.org/knowledge/3.0/instance/physics#main-E1091>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,粒子物理
<http://edukg.org/knowledge/3.0/instance/physics#main-E1790>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,电路图
<http://edukg.org/knowledge/3.0/instance/physics#main-E1817>,<http://www.w3.org/2002/07/owl#NamedIndividual>,光圈
<http://edukg.org/knowledge/3.0/instance/physics#main-E1022>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,通路
<http://edukg.org/knowledge/3.0/instance/physics#main-E1322>,<http://www.w3.org/2002/07/owl#NamedIndividual>,凸面镜
<http://edukg.org/knowledge/3.0/instance/physics#main-E1958>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,三孔插座
<http://edukg.org/knowledge/3.0/instance/physics#main-E2065>,<http://edukg.org/knowledge/3.0/class/physics#main-C3>,凸透镜
<http://edukg.org/knowledge/3.0/instance/physics#main-E1741>,<http://edukg.org/knowledge/3.0/class/physics#main-C2>,研究匀变速直线运动
<http://edukg.org/knowledge/3.0/instance/physics#main-E2182>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,合力
<http://edukg.org/knowledge/3.0/instance/physics#main-E2199>,<http://edukg.org/knowledge/3.0/class/physics#main-C2>,电磁学实验
