uri,cls,label
<http://edukg.org/knowledge/3.0/instance/politics#main-E454>,<http://edukg.org/knowledge/3.0/class/politics#main-C36>,信用工具
<http://edukg.org/knowledge/3.0/instance/politics#main-E1032>,<http://www.w3.org/2002/07/owl#NamedIndividual>,马克思主义哲学
<http://edukg.org/knowledge/3.0/instance/politics#main-E392>,<http://edukg.org/knowledge/3.0/class/politics#main-C1>,思想领导
<http://edukg.org/knowledge/3.0/instance/politics#main-E4541>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,诚信
<http://edukg.org/knowledge/3.0/instance/politics#main-E96>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,发生险情
<http://edukg.org/knowledge/3.0/instance/politics#main-E1281>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,物价总体水平
<http://edukg.org/knowledge/3.0/instance/politics#main-E4265>,<http://www.w3.org/2002/07/owl#NamedIndividual>,正确把握好奇心
<http://edukg.org/knowledge/3.0/instance/politics#main-E2368>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,少年能自强
<http://edukg.org/knowledge/3.0/instance/politics#main-E595>,<http://www.w3.org/2002/07/owl#NamedIndividual>,商品流通
<http://edukg.org/knowledge/3.0/instance/politics#main-E261>,<http://www.w3.org/2002/07/owl#NamedIndividual>,传统建筑
<http://edukg.org/knowledge/3.0/instance/politics#main-E3816>,<http://www.w3.org/2002/07/owl#NamedIndividual>,公民
<http://edukg.org/knowledge/3.0/instance/politics#main-E1664>,<http://www.w3.org/2002/07/owl#NamedIndividual>,兴趣爱好
<http://edukg.org/knowledge/3.0/instance/politics#main-E316>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,爱洒心间
<http://edukg.org/knowledge/3.0/instance/politics#main-E2962>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,自强的品质
<http://edukg.org/knowledge/3.0/instance/politics#main-E3873>,<http://edukg.org/knowledge/3.0/class/politics#main-C9>,君主立宪制
<http://edukg.org/knowledge/3.0/instance/politics#main-E2743>,<http://www.w3.org/2002/07/owl#NamedIndividual>,最高理想
<http://edukg.org/knowledge/3.0/instance/politics#main-E2294>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,科学态度
<http://edukg.org/knowledge/3.0/instance/politics#main-E1370>,<http://www.w3.org/2002/07/owl#NamedIndividual>,家庭
